Material;Molar weight of molecules in kg/mol calculated from ;Gaseous specific heat capacity parameters from VDI Heat Atlas D3.1 Tab. 6 p. 405;;;;;;;Gaseous thermal conductivity parameters from VDI Heat Atlas D3.1 Tab. 10 p. 445;;;;;Gaseous dynamic viscosity parameters from VDI Heat Atlas D3.1 Tab. 8 p. 425;;;;;Evaporation enthalpy parameters from VDI Heat Atlas D3.1 Tab. 4 S. 385;;;;;Liquid Specific heat capacity parameters from VDI Heat Atlas D3.1 Tab. 5 S. 395;;;;;;Critical values T in K, p in bara, rho in kg/m^3;;;Vapor pressure parameters from VDI Heat Atlas D3.1 Tab. 3 on p. 375;;;;Coefficients for calcutlation of 0,2% Dehngrenze in N/mm^2 from T in K (valid interval 77,15K - 823,15 K) with polynome of order 3 (A+B*T+Ö) (Source: WIAM online database, mechanisch-technologische Eigenschaften);;;;;Coefficients for Elastizit‰tsmodul in kN/mm^2 from T in K (valid interval 173,15 - 1273,15 K) with polynom of order 1 (straight line A+B*T) (Source: WIAM online database, physikalische Eigenschaften (Source SEW 310:1992-08);;Coefficients for Linearer Ausdehnungskoeffizient bzgl. 293,15K in 10^-6/K from T in K (valid interval 173,15 - 1273,15 K) with polynom of order 1 (straight line A+B*T) (Source: WIAM online database, physikalische Eigenschaften (Source SEW 310:1992-08);;Coefficients for Differentieller Temperaturkoeffizient der L‰nge in 10^-6/K from T in K (valid interval 173,15 - 1273,15 K) with polynom of order 1 (straight line A+B*T) (Source: WIAM online database, physikalische Eigenschaften (Source SEW 310:1992-08);;Coefficients for thermal conductivity in W/(m*K) from T in K (valid interval 293,15 - 1073,15 K) with polynom of order 1 (straight line A+B*T) (Source: WIAM online database, physikalische Eigenschaften (Source SEW 310:1992-08);;Coefficients for specific electrical resistance in 10^-6*Ohm*m from T in K (valid interval 293,15 - 1073,15 K) with polynom of order 1 (straight line A+B*T) (Source: WIAM online database, physikalische Eigenschaften (Source SEW 310:1992-08);;Coefficients for actual specific heat capacity in 10^3 J/(kg*K) from T in K (valid interval 173,15 - 1273,15 K) with polynome of order 3 (A+B*T+Ö) (Source: WIAM online database, physikalische Eigenschaften (Source SEW 310:1992-08);;;;Diffusion volumes for calculation of diffusivity (species 1 - 5 values are tabulated values) (Acc. To Reid - The Properties of Gases and Liquids?);Number of respective atoms in the molecule for calculation of molar weight and diffusivity volume of non-tabulated materials;;;;;;;;Stoﬂquerschnitt nach Atkins Physikalische Chemie 2022 S. 1128;Porosity acc. GKN Porous Axial p.4+5;alpha acc. GKN Porous Axial p. 4+5 / Psi_v acc. DIN EN ISO 4022;beta acc. GKN Porous Axial p. 4+5 / Psi_i acc. DIN EN ISO 4022;d_min acc. GKN Porous Axial p. 4+5;d_mean acc. GKN Porous Axial p. 4+5;d_max acc. GKN Porous Axial p. 4+5;d_eq acc. GKN Porous Axial p. 4+5;Henry's Constant parameters for Gases and Light Hydrocarbons in n-Paraffins, valid Interval regarding T and n varies but is valid for T = 423Ö528K and n=30 (Source: 10.1016/S0378-3812(97)00166-0);;;;;;Molar density at boiling point to calculate Diffusion coefficient in liquid (https://webbook.nist.gov/chemistry/fluid/)
;kg/mol;A;B;C;D;E;F;G;A*10^3;B*10^3;C*10^6;D*10^9;E*10^12;A*10^5;B*10^7;C*10^10;D*10^12;E*10^15;A;B;C;D;E;A;B;C;D;E;F;T;p;rho;A;B;C;D;A;B;C;D;E;A;B;A;B;A;B;A;B;A;B;A;B;C;D;10^6 m^3/mol;C;H;O;N;S;Fe;Cr;Ni;nm^2;-;10^-12 m^2;10^-7 m^2;µm;µm;µm;µm;A;B;C;D;E;DeltaH;mol/m^3
C4H10;0.058;668.6492;8.9081;14.2467;41.0466;-258.183;411.8238;-258.688;-9.954;0.06133;0.08871;0;0;0.02688;0.2513;-0.02326;0;0;5.90836;7.81092;-4.959362;-0.194761;3.830824;0.4943;19.1915;-11.59;-13.3471;38.1134;-18.8852;425.13;37.96;228;-7.08562;1.79335;-2.00003;-2.31975;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;86.7;4;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;
C5H12;0.072;789.3078;10.6168;0.9888;-24.2821;191.4972;-315.5929;203.9787;-3.267;0.03185;0.09904;0;0;-0.01656;0.24855;-0.03565;0;0;5.75681;9.95286;-6.871727;0.521979;4.474608;0.4935;25.3941;-18.4831;-8.8055;27.9787;-5.5481;469.66;33.69;235;-7.36401;1.94358;-2.47191;-2.34757;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;107.22;5;12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;
C6H14;0.086;752.9844;13.4279;1.5402;-29.6772;208.3733;-342.0902;217.4263;-3.277;0.02707;0.0965;0;0;-0.0745;0.25522;-0.04815;0;0;5.82255;11.20578;-8.077144;1.351285;3.455363;0.5687;29.2523;-5.227;-66.7829;110.646;-52.829;507.79;30.42;223;-7.61075;2.00527;-2.74158;-2.82824;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;127.74;6;14;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;
C7H16;0.100;785.909;14.6277;-1.8476;-21.5324;168.6597;-283.0262;181.4694;-5.442;0.03269;0.08802;0;0;-0.05425;0.22117;-0.02853;0;0;3.33801;21.88936;-18.680507;5.467222;2.994395;0.6767;34.8802;-9.4333;-51.0547;57.7955;-1.9863;541.23;27.74;225;-7.75469;1.84795;-2.80333;-3.62418;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;148.26;7;16;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;
C8H18;0.114;662.4091;20.7046;4.6878;-40.7644;232.4401;-359.1133;215.4126;-2.456;0.01982;0.09339;0;0;-0.05272;0.19657;-0.01009;0;0;4.48143;19.69699;-16.729253;5.297036;4.040976;0.6399;42.0897;-21.4435;-14.6527;-19.5539;54.7506;569.57;25.07;228;-8.01133;1.98859;-3.26507;-3.99439;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;168.78;8;18;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;
C9H20;0.128;828.9112;18.2983;-7.0327;-19.5401;163.6825;-294.9747;195.6096;-2.317;0.01717;0.09097;0;0;-0.11361;0.20732;-0.01914;0;0;6.04659;15.52925;-12.556768;4.153161;5.008624;0.52876;50.2959;-37.7839;31.5903;-103.5592;105.4389;594.55;22.82;234;-8.45145;2.5785;-4.17533;-3.66755;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;189.3;9;20;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;
C10H22;0.142;807.8718;20.1071;-3.9883;-22.5527;184.3994;-327.2729;214.1176;-1.409;0.00916;0.09514;0;0;-0.07177;0.18465;-0.0045;0;0;4.95196;20.6205;-17.243223;5.887415;4.332104;0.5805;55.8884;-34.0842;6.4319;-67.7489;81.0979;617.7;21.01;234;-8.62717;2.5589;-4.50221;-3.6342;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;209.82;10;22;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;
C11H24;0.156;527.8639;45.4181;14.2637;-55.4188;248.2431;-370.4082;213.9896;-6.24;0.02334;0.08107;0;0;-0.09673;0.18199;-0.00624;0;0;7.78079;10.07916;-4.141098;-1.829586;18.468668;0;63.841;-41.341;0;0;0;639.05;19.5;237;-8.73044;2.35716;-4.52576;-4.46648;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;230.34;11;24;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;
C12H26;0.170;844.185;21.6766;2.1683;-25.2676;244.7925;-447.8236;295.3902;-7.217;0.02662;0.07379;0;0;-0.11853;0.18014;-0.00876;0;0;7.96676;8.96561;-2.426306;-1.278554;16.571637;0.4831;71.9423;-57.322;54.8202;-156.5306;146.1074;658.1;18.18;238;-8.97902;2.4053;-4.55315;-5.99492;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;250.86;12;26;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;
C13H28;0.184;474.4332;59.5849;22.6875;-66.2783;286.5523;-426.4025;241.9263;-7.043;0.02492;0.07168;0;0;-0.10665;0.16513;-0.00257;0;0;7.10363;14.69528;-8.501852;2.345396;-3.139495;1.054;74.7978;-31.5528;-117.6551;208.0928;-98.0633;675.05;16.8;238;-8.71245;1.11086;-3.15308;-8.81599;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;271.38;13;28;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;
