Material;Molar weight of molecules in kg/mol calculated from ;Gaseous specific heat capacity parameters from VDI Heat Atlas D3.1 Tab. 6 p. 405;;;;;;;Gaseous thermal conductivity parameters from VDI Heat Atlas D3.1 Tab. 10 p. 445;;;;;Gaseous dynamic viscosity parameters from VDI Heat Atlas D3.1 Tab. 8 p. 425;;;;;Evaporation enthalpy parameters from VDI Heat Atlas D3.1 Tab. 4 S. 385;;;;;Liquid Specific heat capacity parameters from VDI Heat Atlas D3.1 Tab. 5 S. 395;;;;;;Critical values T in K, p in bara, rho in kg/m^3;;;Vapor pressure parameters from VDI Heat Atlas D3.1 Tab. 3 on p. 375;;;;Coefficients for calcutlation of 0,2% Dehngrenze in N/mm^2 from T in K (valid interval 77,15K - 823,15 K) with polynome of order 3 (A+B*T+Ö) (Source: WIAM online database, mechanisch-technologische Eigenschaften);;;;;Coefficients for Elastizit‰tsmodul in kN/mm^2 from T in K (valid interval 173,15 - 1273,15 K) with polynom of order 1 (straight line A+B*T) (Source: WIAM online database, physikalische Eigenschaften (Source SEW 310:1992-08);;Coefficients for Linearer Ausdehnungskoeffizient bzgl. 293,15K in 10^-6/K from T in K (valid interval 173,15 - 1273,15 K) with polynom of order 1 (straight line A+B*T) (Source: WIAM online database, physikalische Eigenschaften (Source SEW 310:1992-08);;Coefficients for Differentieller Temperaturkoeffizient der L‰nge in 10^-6/K from T in K (valid interval 173,15 - 1273,15 K) with polynom of order 1 (straight line A+B*T) (Source: WIAM online database, physikalische Eigenschaften (Source SEW 310:1992-08);;Coefficients for thermal conductivity in W/(m*K) from T in K (valid interval 293,15 - 1073,15 K) with polynom of order 1 (straight line A+B*T) (Source: WIAM online database, physikalische Eigenschaften (Source SEW 310:1992-08);;Coefficients for specific electrical resistance in 10^-6*Ohm*m from T in K (valid interval 293,15 - 1073,15 K) with polynom of order 1 (straight line A+B*T) (Source: WIAM online database, physikalische Eigenschaften (Source SEW 310:1992-08);;Coefficients for actual specific heat capacity in 10^3 J/(kg*K) from T in K (valid interval 173,15 - 1273,15 K) with polynome of order 3 (A+B*T+Ö) (Source: WIAM online database, physikalische Eigenschaften (Source SEW 310:1992-08);;;;Diffusion volumes for calculation of diffusivity (species 1 - 5 values are tabulated values) (Acc. To Reid - The Properties of Gases and Liquids?);Number of respective atoms in the molecule for calculation of molar weight and diffusivity volume of non-tabulated materials;;;;;;;;Stoﬂquerschnitt nach Atkins Physikalische Chemie 2022 S. 1128;Porosity acc. GKN Porous Axial p.4+5;alpha acc. GKN Porous Axial p. 4+5 / Psi_v acc. DIN EN ISO 4022;beta acc. GKN Porous Axial p. 4+5 / Psi_i acc. DIN EN ISO 4022;d_min acc. GKN Porous Axial p. 4+5;d_mean acc. GKN Porous Axial p. 4+5;d_max acc. GKN Porous Axial p. 4+5;d_eq acc. GKN Porous Axial p. 4+5;Henry's Constant parameters for Gases and Light Hydrocarbons in n-Paraffins, valid Interval regarding T and n varies but is valid for T = 423Ö528K and n=30 (Source: 10.1016/S0378-3812(97)00166-0);;;;;;Molar density at boiling point to calculate Diffusion coefficient in liquid (https://webbook.nist.gov/chemistry/fluid/)
;kg/mol;A;B;C;D;E;F;G;A*10^3;B*10^3;C*10^6;D*10^9;E*10^12;A*10^5;B*10^7;C*10^10;D*10^12;E*10^15;A;B;C;D;E;A;B;C;D;E;F;T;p;rho;A;B;C;D;A;B;C;D;E;A;B;A;B;A;B;A;B;A;B;A;B;C;D;10^6 m^3/mol;C;H;O;N;S;Fe;Cr;Ni;nm^2;-;10^-12 m^2;10^-7 m^2;µm;µm;µm;µm;A;B;C;D;E;DeltaH;mol/m^3
C29H60;0.409;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;599.7;29;60;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;
C30H62;0.423;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;620.22;30;62;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;
C31H64;0.437;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;640.74;31;64;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;
C32H66;0.451;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;661.26;32;66;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;
C33H68;0.465;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;681.78;33;68;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;
C34H70;0.479;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;702.3;34;70;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;
C35H72;0.493;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;722.82;35;72;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;
C36H74;0.507;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;743.34;36;74;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;
C37H76;0.521;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;763.86;37;76;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;
C38H78;0.535;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;784.38;38;78;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;
C39H80;0.549;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;804.9;39;80;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;
C40H82;0.563;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;825.42;40;82;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;
C41H84;0.577;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;845.94;41;84;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;
C42H86;0.591;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;866.46;42;86;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;
C43H88;0.605;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;886.98;43;88;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;
C44H90;0.619;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;907.5;44;90;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;
C45H92;0.633;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;928.02;45;92;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;
C46H94;0.647;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;948.54;46;94;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;
C47H96;0.661;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;969.06;47;96;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;
C48H98;0.675;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;989.58;48;98;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;
C49H100;0.689;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1010.1;49;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;
C50H102;0.703;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1030.62;50;102;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;
C2H4;0.028;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;41.04;2;4;0;0;0;0;0;0;0.64;0;0;0;0;0;0;0;;;;;;;
C3H6;0.042;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;61.56;3;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;
C4H8;0.056;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;82.08;4;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;
C5H10;0.070;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;102.6;5;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;
C6H12;0.084;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;123.12;6;12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;
C7H14;0.098;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;143.64;7;14;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;
C8H16;0.112;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;164.16;8;16;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;
C9H18;0.126;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;184.68;9;18;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;
C10H20;0.140;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;205.2;10;20;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;
C11H22;0.154;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;225.72;11;22;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;
C12H24;0.168;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;246.24;12;24;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;
C13H26;0.182;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;266.76;13;26;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;
C14H28;0.196;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;287.28;14;28;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;
C15H30;0.210;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;307.8;15;30;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;
C16H32;0.224;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;328.32;16;32;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;
C17H34;0.238;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;348.84;17;34;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;
C18H36;0.252;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;369.36;18;36;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;
C19H38;0.267;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;389.88;19;38;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;
C20H40;0.281;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;410.4;20;40;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;
C21H42;0.295;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;430.92;21;42;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;
C22H44;0.309;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;451.44;22;44;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;
C23H46;0.323;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;471.96;23;46;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;
C24H48;0.337;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;492.48;24;48;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;
C25H50;0.351;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;513;25;50;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;
C26H52;0.365;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;533.52;26;52;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;
C27H54;0.379;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;554.04;27;54;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;
C28H56;0.393;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;574.56;28;56;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;
C29H58;0.407;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;595.08;29;58;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;
C30H60;0.421;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;615.6;30;60;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;
C31H62;0.435;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;636.12;31;62;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;
C32H64;0.449;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;656.64;32;64;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;
C33H66;0.463;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;677.16;33;66;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;
C34H68;0.477;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;697.68;34;68;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;
C35H70;0.491;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;718.2;35;70;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;
C36H72;0.505;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;738.72;36;72;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;
C37H74;0.519;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;759.24;37;74;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;
C38H76;0.533;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;779.76;38;76;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;
C39H78;0.547;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;800.28;39;78;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;
C40H80;0.561;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;820.8;40;80;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;
C41H82;0.575;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;841.32;41;82;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;
C42H84;0.589;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;861.84;42;84;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;
C43H86;0.603;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;882.36;43;86;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;
C44H88;0.617;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;902.88;44;88;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;
C45H90;0.631;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;923.4;45;90;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;
C46H92;0.645;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;943.92;46;92;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;
C47H94;0.659;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;964.44;47;94;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;
C48H96;0.673;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;984.96;48;96;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;
C49H98;0.687;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1005.48;49;98;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;
C50H100;0.701;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1026;50;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;
i-C4H10;0.058;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;86.7;4;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;
i-C5H12;0.072;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;107.22;5;12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;
i-C6H14;0.086;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;127.74;6;14;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;
i-C7H16;0.100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;148.26;7;16;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;
i-C8H18;0.114;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;168.78;8;18;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;
